0:0:0:0:0:0:0:1 - - [11/May/2020:02:18:14 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:04 +0530] "GET /BookStoreWebsite/view_category?id=1 HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:05 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:06 +0530] "GET /BookStoreWebsite/view_category?id=24 HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:06 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:07 +0530] "GET /BookStoreWebsite/view_category?id=13 HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:07 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:09 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 5125
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:09 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:09 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:09 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:14 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 5125
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:14 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:16 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 5125
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:16 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:17 +0530] "GET /BookStoreWebsite/view_category?id=6 HTTP/1.1" 200 2699
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:17 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:18 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 5125
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:18 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:22 +0530] "GET /BookStoreWebsite/view_category?id=15 HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:22 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:24 +0530] "GET /BookStoreWebsite/view_category?id=16 HTTP/1.1" 200 3521
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:24 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:26 +0530] "GET /BookStoreWebsite/view_category?id=4 HTTP/1.1" 200 4323
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:26 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:29 +0530] "GET /BookStoreWebsite/view_category?id=11 HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:29 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:30 +0530] "GET /BookStoreWebsite/view_category?id=16 HTTP/1.1" 200 3521
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:30 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:33 +0530] "GET /BookStoreWebsite/search?keyword= HTTP/1.1" 200 7381
0:0:0:0:0:0:0:1 - - [11/May/2020:02:23:33 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:29:59 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 199940
0:0:0:0:0:0:0:1 - - [11/May/2020:02:29:59 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:29:59 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:02:29:59 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:02:30:03 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 199940
0:0:0:0:0:0:0:1 - - [11/May/2020:02:30:03 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:30:08 +0530] "GET /BookStoreWebsite/view_category?id=24 HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [11/May/2020:02:30:08 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:30:25 +0530] "GET /BookStoreWebsite/view_category?id=16 HTTP/1.1" 200 3532
0:0:0:0:0:0:0:1 - - [11/May/2020:02:30:25 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:30:30 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [11/May/2020:02:30:30 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:52:36 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52478
0:0:0:0:0:0:0:1 - - [11/May/2020:02:52:36 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:52:36 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:02:52:36 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:02:53:05 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:53:27 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:53:27 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:53:35 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:53:35 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:53:51 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:53:51 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:54:08 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:54:08 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:54:19 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:54:19 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:54:28 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:54:28 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:54:36 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:54:36 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:55:15 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:55:15 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:55:23 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:55:23 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:56:07 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:56:07 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:56:21 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:56:21 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:56:37 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:56:37 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:56:46 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:56:46 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:57:00 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:57:00 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:57:17 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52403
0:0:0:0:0:0:0:1 - - [11/May/2020:02:57:17 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:58:29 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52367
0:0:0:0:0:0:0:1 - - [11/May/2020:02:58:29 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:58:41 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52348
0:0:0:0:0:0:0:1 - - [11/May/2020:02:58:41 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:58:52 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52348
0:0:0:0:0:0:0:1 - - [11/May/2020:02:58:52 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:00 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52348
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:00 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:07 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 52348
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:07 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:59:25 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 5158
